Num,Keywords,Which_Website,Which_Search_Engine,Weights_for_currentSearchEngine,Ranking,Grades_Converted_for_Ranking,Weights_of_the_Keywords,Link_to_Screendump,Orignial_URL,Reporting_date
70,Dat science website,http://www.datasciencecentral.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauVUh2TGMxRnlqcU0,NotKnown,9/29/2016
71,machine learning website,https://www.kaggle.com,Yahoo,5,5,50,20,https://drive.google.com/open?id=0B5lUye8ERPaualFHdG80cWtBNHc,NotKnown,9/29/2016
72,machine learning website,http://www.kdnuggets.com,Yahoo,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaualFHdG80cWtBNHc,NotKnown,9/29/2016
73,machine learning website,https://www.datacamp.com/,Yahoo,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaualFHdG80cWtBNHc,NotKnown,9/29/2016
74,machine learning website,http://stats.stackexchange.com/,Yahoo,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaualFHdG80cWtBNHc,NotKnown,9/29/2016
75,machine learning website,http://www.datasciencecentral.com/,Yahoo,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaualFHdG80cWtBNHc,NotKnown,9/29/2016
76,data mining website,https://www.kaggle.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVnEybHZLYjNhQTQ,NotKnown,9/29/2016
77,data mining website,http://www.kdnuggets.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVnEybHZLYjNhQTQ,NotKnown,9/29/2016
78,data mining website,https://www.datacamp.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVnEybHZLYjNhQTQ,NotKnown,9/29/2016
79,data mining website,http://stats.stackexchange.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVnEybHZLYjNhQTQ,NotKnown,9/29/2016
80,data mining website,http://www.datasciencecentral.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVnEybHZLYjNhQTQ,NotKnown,9/29/2016
81,deep learning website,https://www.kaggle.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWUdLSEZ1NkFUUWM,NotKnown,9/29/2016
82,deep learning website,http://www.kdnuggets.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWUdLSEZ1NkFUUWM,NotKnown,9/29/2016
83,deep learning website,https://www.datacamp.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWUdLSEZ1NkFUUWM,NotKnown,9/29/2016
84,deep learning website,http://stats.stackexchange.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWUdLSEZ1NkFUUWM,NotKnown,9/29/2016
85,deep learning website,http://www.datasciencecentral.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWUdLSEZ1NkFUUWM,NotKnown,9/29/2016
86,big data website,https://www.kaggle.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPaueUtDNVRSQ2FIamc,NotKnown,9/29/2016
87,big data website,http://www.kdnuggets.com,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPaueUtDNVRSQ2FIamc,NotKnown,9/29/2016
88,big data website,https://www.datacamp.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPaueUtDNVRSQ2FIamc,NotKnown,9/29/2016
89,big data website,http://stats.stackexchange.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPaueUtDNVRSQ2FIamc,NotKnown,9/29/2016
90,big data website,http://www.datasciencecentral.com/,Yahoo,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPaueUtDNVRSQ2FIamc,NotKnown,9/29/2016
